   #Energy      xx(%)           yy(%)
  10.828      0.9879E+02      0.9879E+02
  10.846      0.9875E+02      0.9875E+02
  10.865      0.9871E+02      0.9871E+02
  10.883      0.9866E+02      0.9866E+02
  10.901      0.9862E+02      0.9862E+02
  10.919      0.9857E+02      0.9857E+02
  10.938      0.9851E+02      0.9851E+02
  10.956      0.9846E+02      0.9846E+02
  10.974      0.9840E+02      0.9840E+02
  10.993      0.9833E+02      0.9833E+02
  11.011      0.9826E+02      0.9826E+02
  11.029      0.9819E+02      0.9819E+02
  11.048      0.9811E+02      0.9811E+02
  11.066      0.9802E+02      0.9802E+02
  11.084      0.9792E+02      0.9792E+02
  11.102      0.9781E+02      0.9781E+02
  11.121      0.9770E+02      0.9770E+02
  11.139      0.9757E+02      0.9757E+02
  11.157      0.9743E+02      0.9743E+02
  11.176      0.9729E+02      0.9729E+02
  11.194      0.9713E+02      0.9713E+02
  11.212      0.9696E+02      0.9696E+02
  11.230      0.9679E+02      0.9679E+02
  11.249      0.9660E+02      0.9660E+02
  11.267      0.9641E+02      0.9641E+02
  11.285      0.9620E+02      0.9620E+02
  11.304      0.9600E+02      0.9600E+02
  11.322      0.9578E+02      0.9578E+02
  11.340      0.9557E+02      0.9557E+02
  11.358      0.9536E+02      0.9536E+02
  11.377      0.9514E+02      0.9514E+02
  11.395      0.9493E+02      0.9493E+02
  11.413      0.9473E+02      0.9473E+02
  11.432      0.9453E+02      0.9453E+02
  11.450      0.9434E+02      0.9434E+02
  11.468      0.9416E+02      0.9416E+02
  11.487      0.9398E+02      0.9398E+02
  11.505      0.9382E+02      0.9382E+02
  11.523      0.9367E+02      0.9367E+02
  11.541      0.9352E+02      0.9352E+02
  11.560      0.9339E+02      0.9339E+02
  11.578      0.9327E+02      0.9327E+02
  11.596      0.9315E+02      0.9315E+02
  11.615      0.9305E+02      0.9305E+02
  11.633      0.9295E+02      0.9295E+02
  11.651      0.9286E+02      0.9286E+02
  11.669      0.9277E+02      0.9277E+02
  11.688      0.9269E+02      0.9269E+02
  11.706      0.9262E+02      0.9262E+02
  11.724      0.9255E+02      0.9255E+02
  11.743      0.9248E+02      0.9248E+02
  11.761      0.9242E+02      0.9242E+02
  11.779      0.9236E+02      0.9236E+02
  11.797      0.9230E+02      0.9230E+02
  11.816      0.9224E+02      0.9224E+02
  11.834      0.9218E+02      0.9218E+02
  11.852      0.9213E+02      0.9213E+02
  11.871      0.9207E+02      0.9207E+02
  11.889      0.9202E+02      0.9202E+02
  11.907      0.9196E+02      0.9196E+02
  11.925      0.9191E+02      0.9191E+02
  11.944      0.9186E+02      0.9186E+02
  11.962      0.9180E+02      0.9180E+02
  11.980      0.9175E+02      0.9175E+02
  11.999      0.9169E+02      0.9169E+02
  12.017      0.9164E+02      0.9164E+02
  12.035      0.9158E+02      0.9158E+02
  12.054      0.9152E+02      0.9152E+02
